@Comp_Define,COMP1(AR), COMP2(AG), COMP3(AA),COMP4,COMP5,,,
@UNIT,TIME(h),DV(umol/L),AMT(umol),Rat dose = 0.48mg/kg,0.96 mg/kg,,2.4mg/kg,
@ Rat Weight = 250 g,,,,,,,,
@Route: 1 = IV; 2 = IG,,,,,,,,
@ID,TIME,DV,AMT,MDV,CMT,EVID,DOSE_LEVEL,RTE
11,5,0.63302616,0,0,2,0,0.6445,1
11,5,0.088294695,0,0,3,0,0.6445,1
11,5,0.55543829,0,0,4,0,0.6445,1
11,10,0.50770932,0,0,2,0,0.6445,1
11,10,0.10340728,0,0,3,0,0.6445,1
11,10,0.4824014,0,0,4,0,0.6445,1
11,15,0.36356838,0,0,2,0,0.6445,1
11,15,0.058470455,0,0,3,0,0.6445,1
11,15,0.3013982,0,0,4,0,0.6445,1
11,20,0.23682178,0,0,2,0,0.6445,1
11,20,0.079173057,0,0,3,0,0.6445,1
11,20,0.37136949,0,0,4,0,0.6445,1
11,30,0.1288221,0,0,2,0,0.6445,1
11,30,0.03683825,0,0,3,0,0.6445,1
11,30,0.21311219,0,0,4,0,0.6445,1
11,45,0.047880115,0,0,2,0,0.6445,1
11,45,0.021182509,0,0,3,0,0.6445,1
11,45,0.11895687,0,0,4,0,0.6445,1
11,60,0.02355404,0,0,2,0,0.6445,1
11,60,0.011154918,0,0,3,0,0.6445,1
11,60,0.064705747,0,0,4,0,0.6445,1
11,90,0.012797396,0,0,2,0,0.6445,1
11,90,0.006011435,0,0,3,0,0.6445,1
11,90,0.022397311,0,0,4,0,0.6445,1
11,120,0.002405324,0,0,2,0,0.6445,1
11,120,0.002850634,0,0,3,0,0.6445,1
11,120,0.008159058,0,0,4,0,0.6445,1
12,0,0,0.6445,1,2,1,0.6445,1
12,2,1.4707194,0,0,2,0,0.6445,1
12,2,0.13524947,0,0,3,0,0.6445,1
12,2,0.25100435,0,0,4,0,0.6445,1
12,5,0.97574451,0,0,2,0,0.6445,1
12,5,0.1139218,0,0,3,0,0.6445,1
12,5,0.39556557,0,0,4,0,0.6445,1
12,10,0.54332394,0,0,2,0,0.6445,1
12,10,0.089642658,0,0,3,0,0.6445,1
12,10,0.33073427,0,0,4,0,0.6445,1
12,15,0.33942804,0,0,2,0,0.6445,1
12,15,0.056449177,0,0,3,0,0.6445,1
12,15,0.25134973,0,0,4,0,0.6445,1
12,20,0.17377688,0,0,2,0,0.6445,1
12,20,0.05296161,0,0,3,0,0.6445,1
12,20,0.21948473,0,0,4,0,0.6445,1
12,30,0.094494937,0,0,2,0,0.6445,1
12,30,0.032101856,0,0,3,0,0.6445,1
12,30,0.17670947,0,0,4,0,0.6445,1
12,45,0.065613022,0,0,2,0,0.6445,1
12,45,0.018465159,0,0,3,0,0.6445,1
12,45,0.083030456,0,0,4,0,0.6445,1
12,60,0.025577649,0,0,2,0,0.6445,1
12,60,0.010683579,0,0,3,0,0.6445,1
12,60,0.047305553,0,0,4,0,0.6445,1
12,90,0.010528745,0,0,2,0,0.6445,1
12,90,0.008846196,0,0,3,0,0.6445,1
12,90,0.019696978,0,0,4,0,0.6445,1
12,120,0.004794083,0,0,2,0,0.6445,1
12,120,0.004428388,0,0,3,0,0.6445,1
12,120,0.008218902,0,0,4,0,0.6445,1
13,0,0,1.611123195,1,2,1,1.611123195,1
13,2,5.2896496,0,0,2,0,1.611123195,1
13,2,0.40813909,0,0,3,0,1.611123195,1
13,2,1.4602272,0,0,4,0,1.611123195,1
13,5,2.1867828,0,0,2,0,1.611123195,1
13,5,0.18984986,0,0,3,0,1.611123195,1
13,5,1.3732504,0,0,4,0,1.611123195,1
13,10,1.6589864,0,0,2,0,1.611123195,1
13,10,0.2370724,0,0,3,0,1.611123195,1
13,10,1.3221,0,0,4,0,1.611123195,1
13,15,1.039902,0,0,2,0,1.611123195,1
13,15,0.18484332,0,0,3,0,1.611123195,1
13,15,1.0738652,0,0,4,0,1.611123195,1
13,20,0,0,1,2,0,1.611123195,1
13,20,0,0,1,3,0,1.611123195,1
13,20,0,0,1,4,0,1.611123195,1
13,30,0.30821778,0,0,2,0,1.611123195,1
13,30,0.12397819,0,0,3,0,1.611123195,1
13,30,0.7927614,0,0,4,0,1.611123195,1
13,45,0.15983956,0,0,2,0,1.611123195,1
13,45,0.061330299,0,0,3,0,1.611123195,1
13,45,0.37009937,0,0,4,0,1.611123195,1
13,60,0.078312538,0,0,2,0,1.611123195,1
13,60,0.028914441,0,0,3,0,1.611123195,1
13,60,0.16136532,0,0,4,0,1.611123195,1
13,90,0.020921823,0,0,2,0,1.611123195,1
13,90,0.008331036,0,0,3,0,1.611123195,1
13,90,0.06003495,0,0,4,0,1.611123195,1
13,120,0.011471369,0,0,2,0,1.611123195,1
13,120,0.007132312,0,0,3,0,1.611123195,1
13,120,0.027679825,0,0,4,0,1.611123195,1
14,0,0,1.611123195,1,2,1,1.611123195,1
14,2,4.1736969,0,0,2,0,1.611123195,1
14,2,0.5159566,0,0,3,0,1.611123195,1
14,2,1.3112986,0,0,4,0,1.611123195,1
14,5,2.432234,0,0,2,0,1.611123195,1
14,5,0.31416322,0,0,3,0,1.611123195,1
14,5,1.611652,0,0,4,0,1.611123195,1
14,10,1.2700561,0,0,2,0,1.611123195,1
14,10,0.27418817,0,0,3,0,1.611123195,1
14,10,1.3613109,0,0,4,0,1.611123195,1
14,15,0.77652135,0,0,2,0,1.611123195,1
14,15,0.20204948,0,0,3,0,1.611123195,1
14,15,1.019221,0,0,4,0,1.611123195,1
14,20,0.4118711,0,0,2,0,1.611123195,1
14,20,0.13339994,0,0,3,0,1.611123195,1
14,20,0.93645689,0,0,4,0,1.611123195,1
14,30,0.17584013,0,0,2,0,1.611123195,1
14,30,0.043767132,0,0,3,0,1.611123195,1
14,30,0.4828489,0,0,4,0,1.611123195,1
14,45,0.051087017,0,0,2,0,1.611123195,1
14,45,0.026637465,0,0,3,0,1.611123195,1
14,45,0.21067445,0,0,4,0,1.611123195,1
14,60,0.027607897,0,0,2,0,1.611123195,1
14,60,0.019696233,0,0,3,0,1.611123195,1
14,60,0.11679868,0,0,4,0,1.611123195,1
14,90,0.011468746,0,0,2,0,1.611123195,1
14,90,0.024616248,0,0,3,0,1.611123195,1
14,90,0.051503507,0,0,4,0,1.611123195,1
14,120,0.005013768,0,0,2,0,1.611123195,1
14,120,0.010695537,0,0,3,0,1.611123195,1
14,120,0.018290081,0,0,4,0,1.611123195,1
15,0,0,1.611123195,1,2,1,1.611123195,1
15,2,5.4637935,0,0,2,0,1.611123195,1
15,2,0.26161447,0,0,3,0,1.611123195,1
15,2,1.4760475,0,0,4,0,1.611123195,1
15,5,3.9053066,0,0,2,0,1.611123195,1
15,5,0.23470556,0,0,3,0,1.611123195,1
15,5,2.0920221,0,0,4,0,1.611123195,1
15,10,1.5150366,0,0,2,0,1.611123195,1
15,10,0.18627693,0,0,3,0,1.611123195,1
15,10,1.5880442,0,0,4,0,1.611123195,1
15,15,1.3804333,0,0,2,0,1.611123195,1
15,15,0.26872351,0,0,3,0,1.611123195,1
15,15,1.4339714,0,0,4,0,1.611123195,1
15,20,0.70130564,0,0,2,0,1.611123195,1
15,20,0.19215913,0,0,3,0,1.611123195,1
15,20,1.0377972,0,0,4,0,1.611123195,1
15,30,0.35247831,0,0,2,0,1.611123195,1
15,30,0.10877385,0,0,3,0,1.611123195,1
15,30,0.60981151,0,0,4,0,1.611123195,1
15,45,0.099744384,0,0,2,0,1.611123195,1
15,45,0.038899378,0,0,3,0,1.611123195,1
15,45,0.25551148,0,0,4,0,1.611123195,1
15,60,0.05542713,0,0,2,0,1.611123195,1
15,60,0.020008374,0,0,3,0,1.611123195,1
15,60,0.12271107,0,0,4,0,1.611123195,1
15,90,0.02398257,0,0,2,0,1.611123195,1
15,90,0.015076809,0,0,3,0,1.611123195,1
15,90,0.051725465,0,0,4,0,1.611123195,1
15,120,0.008289555,0,0,2,0,1.611123195,1
15,120,0.012757709,0,0,3,0,1.611123195,1
15,120,0.028453433,0,0,4,0,1.611123195,1
16,0,0,1.611123195,1,2,1,1.611123195,1
16,2,4.2058023,0,0,2,0,1.611123195,1
16,2,0.28943158,0,0,3,0,1.611123195,1
16,2,0.83811428,0,0,4,0,1.611123195,1
16,5,2.9211953,0,0,2,0,1.611123195,1
16,5,0.24877132,0,0,3,0,1.611123195,1
16,5,1.1571643,0,0,4,0,1.611123195,1
16,10,1.6163111,0,0,2,0,1.611123195,1
16,10,0.22330754,0,0,3,0,1.611123195,1
16,10,1.1057414,0,0,4,0,1.611123195,1
16,15,0.93681989,0,0,2,0,1.611123195,1
16,15,0.15497692,0,0,3,0,1.611123195,1
16,15,0.77916494,0,0,4,0,1.611123195,1
16,20,0.57028063,0,0,2,0,1.611123195,1
16,20,0.15388343,0,0,3,0,1.611123195,1
16,20,0.77562444,0,0,4,0,1.611123195,1
16,30,0.33791675,0,0,2,0,1.611123195,1
16,30,0.095018329,0,0,3,0,1.611123195,1
